,id,thread_title,reply_split,classification
0,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"Hi stao, the response of the T64fx changes depending on the the blade you're using.",irrelevant
1,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,Usually I have a Primorac Carbon and I'm offensive player with agressive top spin.,irrelevant
2,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"I used T05fx before and I really appreciate the general feeling of the T64fx, which is more softer but faster than 05fx.",comparative
3,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,On the other hand less spin too.,comparative
4,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,Very good for block.,descriptive
5,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,For my style I really prefer T64fx than T05fx ( always 2.1 for me).,comparative
6,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,I bought recently the complete Garaydia family to see if from the blade I had a possibility to improve my skills and I would say no.,irrelevant
7,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,"With the ALC it is too soft and slow for me, with the T5000 too fast and the ZLC has a softer touch and could be an alternative.",irrelevant
8,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,I'm truly amazed about the huge difference between those 3 blades.,irrelevant
9,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,To finish I'm currently glueing a Dignics 05 on my Primorac carbon to test as the season ended.,irrelevant
10,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,after a training I'll see if it fits for me or if I have to test it with the garaydia T5000 or Garaydia ZLC as I'm seeking more spin...,irrelevant
11,-1,-1,-1,irrelevant
12,-1,-1,-1,irrelevant
13,-1,-1,-1,irrelevant
14,-1,-1,-1,irrelevant
15,-1,-1,-1,irrelevant
16,-1,-1,-1,irrelevant
17,-1,-1,-1,irrelevant
18,-1,-1,-1,irrelevant
19,-1,-1,-1,irrelevant
20,-1,-1,-1,irrelevant
21,-1,-1,-1,irrelevant
22,-1,-1,-1,irrelevant
23,-1,-1,-1,irrelevant
24,-1,-1,-1,irrelevant
25,-1,-1,-1,irrelevant
26,-1,-1,-1,irrelevant
27,-1,-1,-1,irrelevant
28,-1,-1,-1,irrelevant
29,-1,-1,-1,irrelevant
30,-1,-1,-1,irrelevant
31,-1,-1,-1,irrelevant
32,-1,-1,-1,irrelevant
33,-1,-1,-1,irrelevant
34,-1,-1,-1,irrelevant
35,-1,-1,-1,irrelevant
36,-1,-1,-1,irrelevant
37,-1,-1,-1,irrelevant
38,-1,-1,-1,irrelevant
39,-1,-1,-1,irrelevant
40,-1,-1,-1,irrelevant
41,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Sent from my SM-G900F using Tapatalk,irrelevant
42,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"If you loop everything and are active in the short game with spin manipulation, Tenergy 05.",irrelevant
43,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"If you block more and are a bit more passive in the short game, the more linear precision of T64 and T80 might be more to your liking.",comparative
44,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I'm not sure about that.,irrelevant
45,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I think T25FX is better than T64 for blocking and short game.,comparative
46,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I don't know anything about the T80 though.,irrelevant
47,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Lifehack: buy T05 first, then once it wears out, buy T80, or vice versa.",irrelevant
48,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,This way you will learn by yourself how these rubbers play for you.,irrelevant
49,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,And the difference between them is not that big so you can go from one to another with a minimal adjustment.,irrelevant
50,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Depend on your skill.,irrelevant
51,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I like hard sponge so t05 is my favorite.,comparative
52,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"The sponge on T05, T80, T64 and T25 is all the same.",irrelevant
53,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,The difference is not the sponge.,irrelevant
54,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,It is the pimple construction.,irrelevant
55,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,T64 has longer thinner pimples with more space between pimples so the pips give more and the rubber feels softer.,comparative
56,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"T05 pimples are a little shorter, thicker, and closer together so the rubber feels harder.",comparative
57,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But even the rubber in the topsheet is the same.,irrelevant
58,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Just the pimple construction is different.,irrelevant
59,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"To the OP, I would like to ask what he means by the word ""best"".",irrelevant
60,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"I won't comment on T25; but T05, T80 and T64 are all great rubbers.",irrelevant
61,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,There are people whose game and style of play may work with one of them slightly better than the others.,irrelevant
62,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But they are all really great rubbers.,irrelevant
63,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,There is a video that explains decently what the difference between each one is.,irrelevant
64,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Once I am able to search for it, I will post it here.",irrelevant
65,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But it has been posted to the forum many times already.,irrelevant
66,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,That video should help you out a decent amount.,irrelevant
67,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,To sum the info up simply:,irrelevant
68,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"1) T05: Slower, More Spin, Higher Throw Angle.",comparative
69,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"2) T64: Faster, Less Spin, Lower Throw Angle.",comparative
70,-1,-1,-1,irrelevant
71,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"So do you want a bigger arc, more spin to spin the person off the table but a little sacrifice in speed?",irrelevant
72,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Or do you want lower shots that don't come up as much and are faster.,irrelevant
73,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But with an amount of spin that is easier to counter.,irrelevant
74,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Or do you want to be half way in between the two extremes?,irrelevant
75,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I go with slower and more spin every time.,irrelevant
76,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Especially since T05 is more than fast enough.,descriptive
77,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Sent from Deep Space by Abacus,irrelevant
78,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Here is that video for you:,irrelevant
79,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Sent from Deep Space by Abacus,irrelevant
80,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Most people, including Butterfly reps, discuss T25 and T25FX as rubbers that are specialized Tenergies.",irrelevant
81,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Most discussion is about T05, T64 and T80 as those are similar rubbers along a continuum.",irrelevant
82,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"With the term best, I mean actually the best experience with these rubbers.",descriptive
83,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,The video mentioned I was actually familiar with.,irrelevant
84,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But it doesn't give much information about the touch of these series at the table.,irrelevant
85,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Tabletennis is not only about spinny topspin.,irrelevant
86,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,For example how does each individual rubber reacts to spinny serves?,irrelevant
87,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I found that t05 is very sensitive to incoming spin and spinny serves.,descriptive
88,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,But T80 is less sensitive to it etc.,comparative
89,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Verstuurd vanaf mijn SM-G900F met Tapatalk,irrelevant
90,-1,-1,-1,irrelevant
91,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"T80 has a little bit more control (for me), less sensitive to spin, but T05 is spinnier.",comparative
92,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Yes, but that is if you are into passive returns.",irrelevant
93,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"If you like to push and spin aggressively, the T05 reaction is a benefit.",descriptive
94,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,It's when you try to just touch the serve without any acceleration that using T05 is a nightmare.,irrelevant
95,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"And that term best is still about preference and each person will feel something slightly different is ""best"".",irrelevant
96,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"Like, for me, hands down, I like T05 more than the others for forehand.",comparative
97,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"For backhand T05, T64 and T05FX have all worked fine.",irrelevant
98,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,If I used it T80 may be fine as well.,irrelevant
99,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"But I remember when I tried it, I didn't try for that long and was used to T05FX and didn't give it much of a chance.",irrelevant
100,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,The extra spin and higher throw seems to be more important to my forehand than my backhand.,irrelevant
101,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Sent from Deep Space by Abacus,irrelevant
102,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Butterfly Rubber Matrix,irrelevant
103,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Trial and error.,irrelevant
104,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Results may vary.,irrelevant
105,-1,-1,-1,irrelevant
106,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,Will depend a lot on blade.,irrelevant
